fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2023-04-03,3469A,CÁCERES,CACERES,394,"13,0","0,0","4,2",06:00,"21,9",15:00,35,"1,4","6,4",13:35,"11,3","976,0",00,"965,4",23
2023-04-04,3469A,CÁCERES,CACERES,394,"16,9","0,0","9,7",06:30,"24,1",15:50,4,"2,5","9,2",11:21,"11,7","970,5",24,"964,8",04
2023-04-05,3469A,CÁCERES,CACERES,394,"15,1","0,0","6,4",06:10,"23,8",15:40,2,"2,8","6,7",14:37,"12,3","972,2",10,"968,9",16
2023-04-06,3469A,CÁCERES,CACERES,394,"16,4","0,0","6,9",06:20,"25,8",17:00,35,"1,9","6,4",17:00,"12,3","971,5",10,"968,8",Varias
2023-04-07,3469A,CÁCERES,CACERES,394,"16,8","0,0","7,1",06:10,"26,6",15:50,18,"1,4","7,5",23:58,"12,4","970,8",10,"967,8",17
2023-04-08,3469A,CÁCERES,CACERES,394,"18,2","0,0","8,2",06:00,"28,3",15:50,18,"1,1","7,8",02:31,"12,1","971,5",24,"968,7",02
2023-04-09,3469A,CÁCERES,CACERES,394,"19,7","0,0","10,8",06:00,"28,6",Varias,26,"2,2","7,8",20:04,"11,5","976,5",23,"971,5",00
2023-04-10,3469A,CÁCERES,CACERES,394,"19,0","0,0","11,1",06:20,"27,0",15:00,24,"2,5","10,0",21:20,"12,0","978,5",10,"975,1",02
2023-04-11,3469A,CÁCERES,CACERES,394,"18,6","0,0","11,0",06:20,"26,1",15:40,29,"3,1","9,7",17:31,"12,5","977,6",00,"973,0",Varias
2023-04-12,3469A,CÁCERES,CACERES,394,"13,5",Ip,"8,4",23:59,"18,6",Varias,25,"5,6","15,0",01:35,"8,8","973,5",00,"970,7",17
2023-04-13,3469A,CÁCERES,CACERES,394,"11,8","0,0","5,6",05:40,"18,1",15:20,32,"4,2","11,4",12:21,"12,0","976,0",10,"973,0",02
2023-04-14,3469A,CÁCERES,CACERES,394,"14,6","0,0","8,2",05:00,"20,9",14:00,30,"4,4","11,1",15:57,"12,1","975,9",Varias,"973,7",17
2023-04-15,3469A,CÁCERES,CACERES,394,"18,2","0,0","10,2",05:40,"26,1",15:30,33,"4,2","9,4",09:36,"12,7","976,4",10,"973,2",18
2023-04-16,3469A,CÁCERES,CACERES,394,"17,8","0,0","8,9",06:10,"26,8",16:30,8,"1,9","7,8",10:40,"12,9","974,7",Varias,"969,5",19
2023-04-17,3469A,CÁCERES,CACERES,394,"19,4","0,0","11,3",04:00,"27,5",16:10,2,"2,2","8,3",13:33,"12,8","970,0",00,"965,5",18
2023-04-18,3469A,CÁCERES,CACERES,394,"18,8","0,0","11,0",04:50,"26,7",15:30,6,"1,1","8,3",10:54,"12,6","966,0",08,"962,7",Varias
2023-04-19,3469A,CÁCERES,CACERES,394,"18,8","0,0","9,4",06:10,"28,2",15:40,9,"1,7","6,9",08:55,"12,8","966,5",10,"963,6",02
2023-04-20,3469A,CÁCERES,CACERES,394,"19,2","0,0","10,8",05:30,"27,6",Varias,24,"2,5","8,3",14:31,"12,9","966,0",Varias,"962,4",Varias
2023-04-21,3469A,CÁCERES,CACERES,394,"16,6","6,4","10,8",23:59,"22,5",14:40,17,"3,3","13,9",13:27,"9,0","964,0",24,"960,1",16
2023-04-22,3469A,CÁCERES,CACERES,394,"14,7","0,0","8,9",06:00,"20,5",16:10,33,"3,6","8,6",15:28,"11,4","970,7",24,"963,9",00
2023-04-23,3469A,CÁCERES,CACERES,394,"17,4","0,0","10,7",04:40,"24,0",15:10,30,"3,1","8,9",16:26,"13,0","972,0",Varias,"970,1",Varias
2023-04-24,3469A,CÁCERES,CACERES,394,"19,0","0,0","11,3",05:30,"26,6",16:30,34,"2,2","7,8",15:25,"13,1","972,8",10,"970,4",Varias
2023-04-25,3469A,CÁCERES,CACERES,394,"20,9","0,0","12,9",06:00,"28,9",16:30,30,"2,5","8,9",14:21,"13,1","972,0",09,"969,3",18
2023-04-26,3469A,CÁCERES,CACERES,394,"21,8","0,0","12,3",05:20,"31,3",15:40,24,"1,7","7,5",15:31,"12,3","970,9",00,"968,0",Varias
2023-04-27,3469A,CÁCERES,CACERES,394,"24,4","0,0","14,4",05:50,"34,4",14:50,17,"1,9","8,6",14:53,"12,7","969,9",00,"965,9",18
2023-04-28,3469A,CÁCERES,CACERES,394,"26,2","0,0","20,5",23:59,"31,8",15:10,16,"4,4","11,7",05:18,"10,7","970,2",Varias,"966,0",04
2023-04-29,3469A,CÁCERES,CACERES,394,"22,3","0,0","17,2",04:30,"27,4",15:50,31,"4,7","9,7",16:10,"9,6","973,7",23,"970,0",02
2023-04-30,3469A,CÁCERES,CACERES,394,"21,7","0,0","15,3",05:50,"28,1",15:10,8,"2,2","8,3",14:30,"12,2","973,2",00,"969,4",18
2023-05-01,3469A,CÁCERES,CACERES,394,"21,0","0,0","12,1",05:10,"30,0",16:20,3,"2,2","5,8",13:47,"13,2","972,8",Varias,"970,1",18
2023-05-02,3469A,CÁCERES,CACERES,394,"22,8","0,0","13,4",04:00,"32,1",Varias,14,"2,5","11,1",23:50,"12,1","971,3",00,"966,9",Varias
2023-05-03,3469A,CÁCERES,CACERES,394,"23,8","0,0","17,4",23:59,"30,3",13:20,24,"5,3","15,6",15:50,"11,7","972,9",24,"966,6",15
2023-05-04,3469A,CÁCERES,CACERES,394,"19,2","0,0","13,5",05:20,"24,9",Varias,31,"2,5","8,3",15:05,"11,8","976,2",11,"972,8",01
2023-05-05,3469A,CÁCERES,CACERES,394,"19,4","0,0","11,8",05:40,"27,1",16:30,30,"2,2","7,5",22:16,"13,4","975,0",00,"969,9",18
2023-05-06,3469A,CÁCERES,CACERES,394,"20,0","0,0","13,7",05:00,"26,2",14:10,28,"3,3","9,2",16:43,"11,9","972,1",24,"968,9",Varias
2023-05-07,3469A,CÁCERES,CACERES,394,"21,8","0,0","14,8",05:40,"28,7",16:10,36,"3,1","8,6",14:10,"13,4","975,9",24,"971,4",03
2023-05-08,3469A,CÁCERES,CACERES,394,"22,7","0,0","14,4",05:20,"31,0",15:30,28,"2,2","8,9",20:53,"12,6","977,4",07,"974,6",18
2023-05-09,3469A,CÁCERES,CACERES,394,"22,4","0,0","17,1",05:30,"27,6",16:00,33,"5,6","12,8",16:35,"12,3","976,6",08,"974,1",Varias
2023-05-10,3469A,CÁCERES,CACERES,394,"20,8","0,0","14,0",05:40,"27,5",16:10,30,"3,9","9,7",03:06,"13,4","975,2",00,"970,9",18
2023-05-11,3469A,CÁCERES,CACERES,394,"18,6","0,0","11,7",05:10,"25,5",15:20,35,"3,3","10,0",12:23,"13,5","971,8",00,"969,4",16
2023-05-12,3469A,CÁCERES,CACERES,394,"16,6","0,0","10,2",23:59,"22,9",14:40,36,"3,9","13,9",16:52,"12,9","972,1",24,"967,9",15
